#1;A I aven;0;1;
#2;Abbaye des rocs;0;1;
#3;Afligem blonde;0;1;
#4;Afligem triple;0;1;
#5;Ar men blanche;0;1;
#6;Ar men blonde;0;1;
#7;Ar men doree;0;1;
#8;Ar men rousse;0;1;
#9;Augustijn;0;1;
#10;Augustiner weissbier;0;1;
#11;Banane chapeau;0;1;
#12;Barbar;0;1;
#13;Barbar bok;0;1;
#14;Beck's;0;1;
#15;BI de bruxelles;0;1;
#16;Biere des ours;0;1;
#17;Biere du desert;0;1;
#18;Bitburger;0;1;
#19;Blanche de namur;0;1;
#20;Bon secours;0;1;
#21;Bonnets rouge;0;1;
#22;Bourgogne des F;0;1;
#23;Brigand;0;1;
#24;Britt blonde;0;1;
#25;Britt rousse;0;1;
#26;Brugge triple;0;1;
#27;Brugs;0;1;
#28;Brugsezot;0;1;
#29;Budweiser;0;1;
#30;Bush;0;1;
#31;Carolus ambrio;0;1;
#32;Carolus classic;0;1;
#33;Carolus triple;0;1;
#34;Cassis;0;1;
#35;Celtika;0;1;
#36;Charles q, blonde;0;1;
#37;Charles quint rubis;0;1;
#38;Chimay bleue;0;1;
#39;Chimay rouge;0;1;
#40;Chimay triple;0;1;
#41;Choufe;0;1;
#42;Ch'ti;0;1;
#43;Ciney;0;1;
#44;Colomba;0;1;
#45;Corsendonk pater;0;1;
#46;Corsendonk rousse;0;1;
#47;Cretonnerre;0;1;
#48;Cuyee des trolls;0;1;
#49;Delirium noct.;0;1;
#50;Delirium tremens;0;1;
#51;Demi de melee;0;1;
#52;Demi de melee framboise;0;1;
#53;Diebels;0;1;
#54;Dodo bourbon;0;1;
#55;Dremmwel blonde bio;0;1;
#56;Dremmwel doree bio;0;1;
#57;Duchesse anne triple;0;1;
#58;Duf;0;1;
#59;Duvel;0;1;
#60;Duvel tripel;0;1;
#61;Eku 28;0;1;
#62;Erdinger;0;1;
#63;Faro;0;1;
#64;Florefe double;0;1;
#65;Florefe triple;0;1;
#66;Floreffe melior;0;1;
#67;Floris apple;0;1;
#68;Floris fraise;0;1;
#69;Fosters;0;1;
#70;Framboise;0;1;
#71;Franziskaner dunkel;0;1;
#72;Franziskaner kristallklar;0;1;
#73;Franziskaner weissbier;0;1;
#74;Fruh kolsh;0;1;
#75;Fruit defendu;0;1;
#76;Gauloise blonde;0;1;
#77;Gauloise brune;0;1;
#78;Gavroche;0;1;
#79;Goliath;0;1;
#80;Gordon scotch;0;1;
#81;Gouyasse;0;1;
#82;Grimbergen blonde;0;1;
#83;Grimbergen brune;0;1;
#84;Grisette;0;1;
#85;Gueuze;0;1;
#86;Guillotine;0;1;
#87;guiness;0;1;
#88;Gulden draak;0;1;
#89;Hacker munchner;0;1;
#90;Hacker pschorr hefe;0;1;
#91;Hoegaarden grd cru;0;1;
#92;Hopus;0;1;
#93;Judas;0;1;
#94;Jupiler;0;1;
#95;Karmeliet;0;1;
#96;Kasteel blonde;0;1;
#97;Kasteel brune;0;1;
#98;Kasteel r;0;1;
#99;Kasteel triple;0;1;
#100;Kilkenny;0;1;
#101;Konig ludwig;0;1;
#102;Kostritzer;0;1;
#103;Kriek;0;1;
#104;Krombacher;0;1;
#105;Kwak;0;1;
#106;La choulette ambree;0;1;
#107;La choulette blonde;0;1;
#108;La grevine;0;1;
#109;Lancelot;0;1;
#110;Lefe 9;0;1;
#111;Lefe brune;0;1;
#112;Lefe radieuse;0;1;
#113;Leroy stout;0;1;
#114;Levrette blonde;0;1;
#115;Levrette cherry;0;1;
#116;Liefmans;0;1;
#117;Lucifer;0;1;
#118;Malheur 6;0;1;
#119;Maredsous 6;0;1;
#120;Maredsous 8;0;1;
#121;Martin's;0;1;
#122;Mc choufe;0;1;
#123;Meisel's weisse;0;1;
#124;Melusine;0;1;
#125;Moinette;0;1;
#126;Montagnarde;0;1;
#127;Moulinsard;0;1;
#128;newcastle;0;1;
#129;Omer;0;1;
#130;Ommegang;0;1;
#131;Page 24 ambree;0;1;
#132;Page 24 blonde;0;1;
#133;Pater Eleven blonde;0;1;
#134;Pater lieven triple;0;1;
#135;Paulaner original;0;1;
#136;Paulaner salvator;0;1;
#137;Paulaner sans alcool;0;1;
#138;Pecheresse;0;1;
#139;Petrus brune;0;1;
#140;Petrus triple;0;1;
#141;Pilsner urquell;0;1;
#142;Piraat;0;1;
#143;Primator 16;0;1;
#144;Primator 21;0;1;
#145;Queue de c. ambree;0;1;
#146;Queue de c. blonde;0;1;
#147;Queue de c. brune;0;1;
#148;Queue de c. triple;0;1;
#149;Rince cochon;0;1;
#150;Rochefort 6;0;1;
#151;Rochefort 8;0;1;
#152;Rodenbach;0;1;
#153;Rodenbach grd cru;0;1;
#154;Rothaus;0;1;
#155;Saison 1900;0;1;
#156;Samuel a;0;1;
#157;San miguel;0;1;
#158;Satan gold;0;1;
#159;Spaten;0;1;
#160;St benoit blonde;0;1;
#161;St bernardus pater;0;1;
#162;St bernardus prior 8;0;1;
#163;St bernardus triple;0;1;
#164;St erwan;0;1;
#165;St feuillen grand cru;0;1;
#166;St feuillen triple;0;1;
#167;St feullle blonde;0;1;
#168;Staropramen;0;1;
#169;Super bock;0;1;
#170;Telenn du;0;1;
#171;Tempelier;0;1;
#172;Thurn and taxi dunkel;0;1;
#173;Tongerlo prior;0;1;
#174;Trappe blonde;0;1;
#175;Trappe double;0;1;
#176;Trappe isidor;0;1;
#177;Trappe quadrupel;0;1;
#178;Trappe tripel;0;1;
#179;Trappe witte trappist;0;1;
#180;Triple moine;0;1;
#181;Tsingtao;0;1;
#182;Vedette extra blonde;0;1;
#183;Vedette extra white;0;1;
#184;Warseteiner;0;1;
#185;Weihenstephaner festbier;0;1;
#186;Weihenstephaner hefe;0;1;
#187;Westmalle double;0;1;
#188;Westmalle triple;0;1;
